"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","formation","member","occurrence_no","collection_no","collection_name","reference_no","long.x","lat.x","long","lat"
"7865","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.76,-109.68,"Edinburg","","1658633","235399","silicified horizon 26 m","78817",-109.68,-19.76,-110.191236208665,-16.4313497128954
"7866","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.76,-109.68,"Edinburg","","1658632","235398","silicified horizon 22 m","78817",-109.68,-19.76,-110.191236208665,-16.4313497128954
"7867","F515",50,222,"453","Sandbian","467.3","407.6","Camerella","Camerella",0,"Brachiopoda","Rhynchonellata","Pentamerida","Camerellidae",-15.05,-106.63,"Bobcaygeon","Coboconk","273620","26191","Lake Simcoe Area, Lower Member, Submember C2","7251",-106.63,-15.05,-110.191236208665,-16.4313497128954
"7868","F515",50,222,"453","Sandbian","453","387.7","Ceratocephala","Ceratocephala",0,"Arthropoda","Trilobita","Odontopleurida","Odontopleuridae",-19.94,-110.32,"Oranda","","920674","105203","Loc. 8, Greenmount Church area","35193",-110.32,-19.94,-110.191236208665,-16.4313497128954
"7869","F515",50,222,"453","Sandbian","453","387.7","Ceratocephala","Ceratocephala",0,"Arthropoda","Trilobita","Odontopleurida","Odontopleuridae",-19.92,-109.42,"Oranda","","712245","76338","Oranda Formation, Bed 8-23","25807",-109.42,-19.92,-110.191236208665,-16.4313497128954
"7870","F515",50,222,"453","Sandbian","453","387.7","Ceratocephala","Ceratocephala",0,"Arthropoda","Trilobita","Odontopleurida","Odontopleuridae",-19.78,-109.67,"Edinburg","Botetourt limestone","679744","73342","Loc. 3. south side of road, 0.2 mile east of Strasburg Junction","24623",-109.67,-19.78,-110.191236208665,-16.4313497128954
"7871","F515",50,222,"453","Sandbian","467.3","427.4","Ceratocephala","Ceratocephala (Ceratocephalina)",0,"Arthropoda","Trilobita","Odontopleurida","Odontopleuridae",-19.78,-109.67,"Edinburg","Botetourt limestone","920632","73342","Loc. 3. south side of road, 0.2 mile east of Strasburg Junction","35193",-109.67,-19.78,-110.191236208665,-16.4313497128954
"7872","F515",50,222,"453","Sandbian","477.7","445.2","Ceraurinella","Ceraurinella",0,"Arthropoda","Trilobita","Phacopida","Cheiruridae",-19.78,-109.67,"Edinburg","Botetourt limestone","679747","73342","Loc. 3. south side of road, 0.2 mile east of Strasburg Junction","24640",-109.67,-19.78,-110.191236208665,-16.4313497128954
"7873","F515",50,222,"453","Sandbian","458.4","445.2","Ceraurus","Ceraurus",0,"Arthropoda","Trilobita","Phacopida","Cheiruridae",-15.05,-106.63,"Bobcaygeon","Coboconk","273636","26191","Lake Simcoe Area, Lower Member, Submember C2","7251",-106.63,-15.05,-110.191236208665,-16.4313497128954
"7874","F515",50,222,"453","Sandbian","458.4","445.2","Ceraurus","Ceraurus",0,"Arthropoda","Trilobita","Phacopida","Cheiruridae",-14.84,-106.71,"Bobcaygeon","Coboconk","273417","26175","Lake Simcoe Area, Submember C1A","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7875","F515",50,222,"453","Sandbian","458.4","445.2","Ceraurus","Ceraurus",0,"Arthropoda","Trilobita","Phacopida","Cheiruridae",-19.94,-110.32,"Oranda","","921008","105203","Loc. 8, Greenmount Church area","35208",-110.32,-19.94,-110.191236208665,-16.4313497128954
"7876","F515",50,222,"453","Sandbian","458.4","445.2","Ceraurus","Ceraurus",0,"Arthropoda","Trilobita","Phacopida","Cheiruridae",-14.84,-106.71,"Bobcaygeon","Coboconk","273609","26188","Lake Simcoe Area, Lower Member, Submember C1B","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7877","F515",50,222,"453","Sandbian","458.4","445.2","Ceraurus","Ceraurus",0,"Arthropoda","Trilobita","Phacopida","Cheiruridae",-19.92,-109.42,"Oranda","","712249","76338","Oranda Formation, Bed 8-23","25807",-109.42,-19.92,-110.191236208665,-16.4313497128954
"7878","F515",50,222,"453","Sandbian","458.4","453","Chomatopyge","Chomatopyge",1,"Arthropoda","Trilobita","Proetida","Dimeropygidae",-19.78,-109.67,"Edinburg","Botetourt limestone","679739","73342","Loc. 3. south side of road, 0.2 mile east of Strasburg Junction","24623",-109.67,-19.78,-110.191236208665,-16.4313497128954
"7879","F515",50,222,"453","Sandbian","458.4","440.8","Christiania","Christiania",0,"Brachiopoda","Strophomenata","Strophomenida","Christianiidae",-19.92,-109.42,"Oranda","","712235","76338","Oranda Formation, Bed 8-23","25807",-109.42,-19.92,-110.191236208665,-16.4313497128954
"7880","F515",50,222,"453","Sandbian","458.4","440.8","Christiania","Christiania",0,"Brachiopoda","Strophomenata","Strophomenida","Christianiidae",-19.92,-109.42,"Oranda","","712431","76449","Oranda Formation, Bed 16","25807",-109.42,-19.92,-110.191236208665,-16.4313497128954
"7881","F515",50,222,"453","Sandbian","453","443.8","Cryptolithus","Cryptolithus",0,"Arthropoda","Trilobita","Trinucleida","Trinucleidae",-19.94,-110.32,"Oranda","","921007","105203","Loc. 8, Greenmount Church area","35208",-110.32,-19.94,-110.191236208665,-16.4313497128954
"7882","F515",50,222,"453","Sandbian","453","443.8","Cryptolithus","Cryptolithus",0,"Arthropoda","Trilobita","Trinucleida","Trinucleidae",-19.92,-109.42,"Oranda","","712241","76338","Oranda Formation, Bed 8-23","25807",-109.42,-19.92,-110.191236208665,-16.4313497128954
"7883","F515",50,222,"453","Sandbian","477.7","330.9","Ctenodonta","Ctenodonta",0,"Mollusca","Bivalvia","Solemyida","Ctenodontidae",-14.84,-106.71,"Bobcaygeon","Coboconk","273598","26188","Lake Simcoe Area, Lower Member, Submember C1B","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7884","F515",50,222,"453","Sandbian","477.7","330.9","Ctenodonta","Ctenodonta",0,"Mollusca","Bivalvia","Solemyida","Ctenodontidae",-14.84,-106.71,"Gull River","Upper","273359","26174","Lake Simcoe Area","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7885","F515",50,222,"453","Sandbian","467.3","445.2","Cybeloides","Cybeloides",0,"Arthropoda","Trilobita","Phacopida","Encrinuridae",-19.78,-109.67,"Edinburg","Botetourt limestone","680377","73342","Loc. 3. south side of road, 0.2 mile east of Strasburg Junction","24640",-109.67,-19.78,-110.191236208665,-16.4313497128954
"7886","F515",50,222,"453","Sandbian","470","298.9","Cyrtodontula","Cyrtodontula",0,"Mollusca","Bivalvia","Cyrtodontida","Cyrtodontidae",-15.05,-106.63,"Bobcaygeon","Coboconk","273635","26191","Lake Simcoe Area, Lower Member, Submember C2","7251",-106.63,-15.05,-110.191236208665,-16.4313497128954
"7887","F515",50,222,"453","Sandbian","477.7","387.7","Dalmanella","Dalmanella",0,"Brachiopoda","Rhynchonellata","Orthida","Dalmanellidae",-19.94,-110.29,"Oranda","","1245429","164197","0.6 mile northwest of Linville Station","44678",-110.29,-19.94,-110.191236208665,-16.4313497128954
"7888","F515",50,222,"453","Sandbian","477.7","387.7","Dalmanella","Dalmanella",0,"Brachiopoda","Rhynchonellata","Orthida","Dalmanellidae",-19.94,-110.32,"Oranda","","1421741","105203","Loc. 8, Greenmount Church area","44678",-110.32,-19.94,-110.191236208665,-16.4313497128954
