"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"7833","F382",30,540,3.6,"Zanclean",27.82,3.6,"Enaeta","Enaeta",1,"Mollusca","Gastropoda","Neogastropoda","Volutidae",1.3,-78.47,428163,41757,11177,-78.47,1.3,-81.7390955747072,2.38295803461706
"7834","F382",30,540,3.6,"Zanclean",27.82,3.6,"Enaeta","Enaeta",1,"Mollusca","Gastropoda","Neogastropoda","Volutidae",1.29,-78.48,428220,41763,11177,-78.48,1.29,-81.7390955747072,2.38295803461706
"7835","F382",30,540,3.6,"Zanclean",27.82,3.6,"Enaeta","Enaeta",1,"Mollusca","Gastropoda","Neogastropoda","Volutidae",1.29,-78.48,428219,41762,11177,-78.48,1.29,-81.7390955747072,2.38295803461706
"7836","F382",30,540,3.6,"Zanclean",227,0.0117,"Ennucula","Ennucula",0,"Mollusca","Bivalvia","Nuculida","Nuculidae",1.28,-78.64,577593,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"7837","F382",30,540,3.6,"Zanclean",100.5,0.0117,"Epitonium","Epitonium",0,"Mollusca","Bivalvia","No","Epitoniidae",1.17,-77.89,1078686,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7838","F382",30,540,3.6,"Zanclean",100.5,0.0117,"Epitonium","Epitonium",0,"Mollusca","Bivalvia","No","Epitoniidae",1.17,-77.89,1078826,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7839","F382",30,540,3.6,"Zanclean",56,0.0117,"Ervilia","Ervilia",0,"Mollusca","Bivalvia","Cardiida","Semelidae",1.2,-78.8,1079186,135043,43321,-78.8,1.2,-81.7390955747072,2.38295803461706
"7840","F382",30,540,3.6,"Zanclean",15.98,0.0117,"Euclia","Euclia",0,"Mollusca","Gastropoda","Neogastropoda","Cancellariidae",1.17,-77.89,1078733,131333,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7841","F382",30,540,3.6,"Zanclean",15.98,0.0117,"Euclia","Euclia",0,"Mollusca","Gastropoda","Neogastropoda","Cancellariidae",1.28,-78.52,577549,60771,17422,-78.52,1.28,-81.7390955747072,2.38295803461706
"7842","F382",30,540,3.6,"Zanclean",15.98,0.0117,"Euclia","Euclia",0,"Mollusca","Gastropoda","Neogastropoda","Cancellariidae",1.29,-78.55,1078569,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"7843","F382",30,540,3.6,"Zanclean",237,0.0117,"Euspira","Euspira",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.28,-78.64,428604,41574,11194,-78.64,1.28,-81.7390955747072,2.38295803461706
"7844","F382",30,540,3.6,"Zanclean",15.98,0.0117,"Euvola","Euvola",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",1.28,-78.52,577506,60771,17422,-78.52,1.28,-81.7390955747072,2.38295803461706
